n,k,seed,nodes,restarts,peak depth,solving time,conflicts,propagations,sb propagations,sb prop / all prop,scc propagations,scc prop / all prop,average conflict size,unit nogoods learned,average nogood length,average backtrack amount,average lbd,base time,sb time,scc time
20,4,510445500,15,0,8,0.0003169,4,1342,0,0.0,0,0.0,2.0,0,5.75,0.0,3.75,4.47e-05,0.0,0.0
20,4,804596734,19,0,8,0.000662,11,2302,0,0.0,0,0.0,7.454545454545454,0,8.272727272727273,0.0,5.090909090909091,4.63e-05,0.0,0.0
20,4,517808720,117,0,12,0.0019647,60,6540,0,0.0,0,0.0,3.1166666666666667,2,4.75,0.0,3.15,0.0001799,0.0,0.0
20,4,594658253,17,0,9,0.0003718,5,1183,0,0.0,0,0.0,2.0,0,6.0,0.0,2.4,4.83e-05,0.0,0.0
20,4,377119946,82,0,8,0.0026101,71,8114,0,0.0,0,0.0,3.788732394366197,0,6.661971830985915,0.0,3.816901408450704,0.0001408,0.0,0.0
20,4,320791670,19,0,8,0.000818,12,1918,0,0.0,0,0.0,2.25,0,7.833333333333333,0.0,4.5,5.1800000000000005e-05,0.0,0.0
20,4,423340759,37,0,9,0.0005478,19,2614,0,0.0,0,0.0,2.789473684210526,0,4.947368421052632,0.0,3.4210526315789473,4.5e-05,0.0,0.0
20,4,542854878,82,0,10,0.0032298,64,8124,0,0.0,0,0.0,3.96875,0,7.46875,0.0,5.59375,0.00022360000000000001,0.0,0.0
20,4,197944485,218,0,10,0.005691,168,20240,0,0.0,0,0.0,5.416666666666667,0,7.017857142857143,0.0,4.255952380952381,0.00037850000000000004,0.0,0.0
20,4,388698650,177,0,10,0.0068571,129,14549,0,0.0,0,0.0,10.953488372093023,0,8.046511627906977,0.0,4.5813953488372094,0.00043030000000000005,0.0,0.0
20,4,923689404,52,0,9,0.0021992,41,6211,0,0.0,0,0.0,2.7560975609756095,0,8.073170731707316,0.0,3.951219512195122,0.00011850000000000001,0.0,0.0
20,4,768538713,170,0,12,0.005419,134,16381,0,0.0,0,0.0,3.626865671641791,0,6.880597014925373,0.0,4.044776119402985,0.0003682,0.0,0.0
20,4,617532127,23,0,9,0.0005784,10,1647,0,0.0,0,0.0,2.1,0,5.7,0.0,3.6,5.6500000000000005e-05,0.0,0.0
20,4,713876416,161,0,11,0.004714,113,16027,0,0.0,0,0.0,3.7876106194690267,0,6.513274336283186,0.0,3.9292035398230087,0.0002973,0.0,0.0
20,4,10089753,12,0,8,0.0001907,2,735,0,0.0,0,0.0,2.0,0,3.5,0.0,2.0,3.12e-05,0.0,0.0
20,4,694239867,68,0,8,0.0019974,51,7444,0,0.0,0,0.0,2.5686274509803924,0,9.117647058823529,0.0,4.352941176470588,0.0001308,0.0,0.0
20,4,655259229,133,0,10,0.0061529,121,16191,0,0.0,0,0.0,3.15702479338843,0,8.40495867768595,0.0,4.966942148760331,0.00027130000000000004,0.0,0.0
